medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/071,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/072,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/073,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/074,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/075,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/076,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/077,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Irbesartan/Hydrochlorothiazide Teva,EU/1/09/583/078,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/001,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/002,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/003,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/004,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/005,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/006,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/007,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/008,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/009,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/010,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/011,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/012,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/013,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/014,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/015,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/016,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/017,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/018,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/019,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/020,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/021,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/022,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/023,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Ifirmacombi,EU/1/11/673/024,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/001,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/002,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/003,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/004,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/005,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/006,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/007,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/008,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/009,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/010,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/011,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/012,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/013,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/014,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/015,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/016,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/017,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/018,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/019,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/020,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/021,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/022,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/023,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/024,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/025,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/026,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/027,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/028,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/029,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/030,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/031,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/032,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/033,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/034,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/035,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/036,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/037,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/038,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/039,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/040,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/041,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/042,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/043,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/044,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/045,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Actelsar HCT,EU/1/13/817/046,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/001,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/002,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/003,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/004,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/005,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/006,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/007,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/008,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/009,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/010,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/011,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/012,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/013,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/014,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/015,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/016,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/017,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/018,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/019,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/020,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/021,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/022,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/023,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/024,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/025,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/026,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/027,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/028,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/029,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/030,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/031,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/032,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Tolucombi,EU/1/13/821/033,Tabletes,"Telmisartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/001,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/002,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/003,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/004,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/005,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/006,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/007,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/008,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/009,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/010,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/011,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/012,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/013,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/014,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/015,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/016,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/017,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/018,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/019,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/020,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/021,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Jinarc,EU/1/15/1000/022,Tabletes,Tolvaptanum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/001,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/002,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/003,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/004,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/005,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/006,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/007,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/008,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/009,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Kerendia,EU/1/21/1616/010,Apvalkotā tablete,Finerenonum,Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/001,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/002,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/003,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/004,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/005,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/006,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/007,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/008,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/009,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/010,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/011,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/012,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/013,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/014,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/015,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/016,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/017,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/018,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/019,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/020,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/021,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/022,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/023,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/024,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/025,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/026,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/027,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/028,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/029,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/030,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/031,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/032,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/033,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
Karvezide,EU/1/98/085/034,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/001,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/002,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/003,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/004,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/005,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/006,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/007,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/008,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/009,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/010,Tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/011,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/012,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/013,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/014,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/015,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/016,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/017,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/018,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/019,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/020,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/021,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/022,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/023,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/024,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/025,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/026,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/027,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/028,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/029,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/030,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/031,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/032,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/033,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CoAprovel,EU/1/98/086/034,Apvalkotās tabletes,"Irbesartanum, Hydrochlorothiazidum",Jā,Jā,S5,,,,,,
CosmoFer 50 mg/ml šķīdums infūzijām un injekcijām,I000532,Šķīdums injekcijām un infūzijām,Ferri hydroxidum dextrani complexus,Jā,Jā,S5,,,,,,
Trifas 10 10 mg tabletes,I000621,Tabletes,Torasemidum,Jā,Jā,S5,,,,,,
Trifas 10 10 mg tabletes,I000626,Tabletes,Torasemidum,Jā,Jā,S5,,,,,,
